linha_original;query;codigo_encontrado;descricao_encontrada;status
1; Fio cabo 750 V - PVC - Fase-A - 6 mm2 ;39.02.030;Cabo de cobre de 6 mm², isolamento 750 V - isolação em PVC 70°C;SUCESSO
2; Fio cabo 750 V - PVC - Fase-B - 6 mm2 ;39.02.030;Cabo de cobre de 6 mm², isolamento 750 V - isolação em PVC 70°C;SUCESSO
3; Fio cabo 750 V - PVC - Fase-C - 6 mm2 ;39.02.030;Cabo de cobre de 6 mm², isolamento 750 V - isolação em PVC 70°C;SUCESSO
4; Fio cabo 750 V - PVC - Neutro - 6 mm2 ;39.02.030;Cabo de cobre de 6 mm², isolamento 750 V - isolação em PVC 70°C;SUCESSO
5; Fio cabo 750 V - PVC - Terra  - 6 mm2 ;9003077;CABO FLEXÍVEL PVC-750V - 3 CONDUTORES - 6MM2;SUCESSO
6; Fio cabo 750 V - PVC - Fase-A - 10mm2;9003078;CABO FLEXÍVEL PVC-750V - 3 CONDUTORES - 10MM2;SUCESSO
7; Fio cabo 750 V - PVC - Fase-B - 10mm2;9003078;CABO FLEXÍVEL PVC-750V - 3 CONDUTORES - 10MM2;SUCESSO
8; Fio cabo 750 V - PVC - Fase-C - 10mm2;9003078;CABO FLEXÍVEL PVC-750V - 3 CONDUTORES - 10MM2;SUCESSO
9; Fio cabo 750 V - PVC - Neutro - 10mm2;9003078;CABO FLEXÍVEL PVC-750V - 3 CONDUTORES - 10MM2;SUCESSO
10; Fio cabo 750 V - PVC - Terra  - 10mm2;9003078;CABO FLEXÍVEL PVC-750V - 3 CONDUTORES - 10MM2;SUCESSO
11; Cabo 1 KV - EPR - Fase-A      - 25mm2;9003108;CABO DE COBRE 25MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
12; Cabo 1 KV - EPR - Fase-B      - 25mm2;9003108;CABO DE COBRE 25MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
13; Cabo 1 KV - EPR - Fase-C      - 25mm2;9003108;CABO DE COBRE 25MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
14; Cabo 1 KV - EPR - Neutro      - 25mm2;9003108;CABO DE COBRE 25MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
15; Cabo 1 KV - EPR - Fase-A Classe II - 50mm2;9003110;CABO DE COBRE 50MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
16; Cabo 1 KV - EPR - Fase-B Classe II - 50mm2;9003110;CABO DE COBRE 50MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
17; Cabo 1 KV - EPR - Fase-C Classe II - 50mm2;9003110;CABO DE COBRE 50MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
18; Cabo 1 KV - EPR - Neutro Classe II - 50mm2;9003110;CABO DE COBRE 50MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
19; Fio cabo 750 V - PVC - Fase-A - 1.5mm2;9003070;CABO FLEXÍVEL PVC-750V - 2 CONDUTORES - 1.5MM2;SUCESSO
20; Fio cabo 750 V - PVC - Fase-B - 1.5mm2;9003070;CABO FLEXÍVEL PVC-750V - 2 CONDUTORES - 1.5MM2;SUCESSO
21; Fio cabo 750 V - PVC - Fase-C - 1.5mm2;9003070;CABO FLEXÍVEL PVC-750V - 2 CONDUTORES - 1.5MM2;SUCESSO
22; Fio cabo 750 V - PVC - Neutro - 1.5mm2;9003070;CABO FLEXÍVEL PVC-750V - 2 CONDUTORES - 1.5MM2;SUCESSO
23; Fio cabo 750 V - PVC - Retorno - 1.5mm2;9003070;CABO FLEXÍVEL PVC-750V - 2 CONDUTORES - 1.5MM2;SUCESSO
24; Fio cabo 750 V - PVC - Terra  - 1.5mm2;9003070;CABO FLEXÍVEL PVC-750V - 2 CONDUTORES - 1.5MM2;SUCESSO
25; Fio cabo 750 V - PVC - Fase-A - 2.5mm2;9003076;CABO FLEXÍVEL PVC - 750V - 3 CONDUTORES - 2.50MM2;SUCESSO
26; Fio cabo 750 V - PVC - Fase-B - 2.5mm2;9003076;CABO FLEXÍVEL PVC - 750V - 3 CONDUTORES - 2.50MM2;SUCESSO
27; Fio cabo 750 V - PVC - Fase-C - 2.5mm2;9003076;CABO FLEXÍVEL PVC - 750V - 3 CONDUTORES - 2.50MM2;SUCESSO
28; Fio cabo 750 V - PVC - Neutro - 2.5mm2;9003076;CABO FLEXÍVEL PVC - 750V - 3 CONDUTORES - 2.50MM2;SUCESSO
29; Fio cabo 750 V - PVC - Terra  - 2.5mm2;9003076;CABO FLEXÍVEL PVC - 750V - 3 CONDUTORES - 2.50MM2;SUCESSO
30;Disjuntor Monofásico  -  10A 4,5kA ;93653;DISJUNTOR MONOPOLAR TIPO DIN CORRENTE NOMINAL DE 10A - FORNECIMENTO E INSTALAÇÃO AF_10/2020;SUCESSO
31;Disjuntor Monofásico  -  16A 4,5kA ;93654;DISJUNTOR MONOPOLAR TIPO DIN CORRENTE NOMINAL DE 16A - FORNECIMENTO E INSTALAÇÃO AF_10/2020;SUCESSO
32;Disjuntor Monofásico  -  20A 4,5kA ;93655;DISJUNTOR MONOPOLAR TIPO DIN CORRENTE NOMINAL DE 20A - FORNECIMENTO E INSTALAÇÃO AF_10/2020;SUCESSO
33;Disjuntor Monofásico  -  32A 4,5kA ;93657;DISJUNTOR MONOPOLAR TIPO DIN CORRENTE NOMINAL DE 32A - FORNECIMENTO E INSTALAÇÃO AF_10/2020;SUCESSO
34;Disjuntor Monofásico  -  40A 4,5kA ;9004032;CONTATOR TRIPOLAR I NOMINAL 40A;SUCESSO
35;Disjuntor Tripolar  -  70A 10kA ;9008090;DISJUNTOR TERMOMAGNÉTICO DIFERENCIAL TRIPOLAR - 63A - SENSIBILIDADE 30MA - 240V;SUCESSO
36;Disjuntor Tripolar  -  125A 10kA ;9008047;DISJUNTOR CAIXA MOLDADA TRIPOLAR 125A COM DISPARADOR TERMOMAGNÉTICO AJUSTÁVEL;SUCESSO
37;DPS Classe II 45kA;9017002;DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS - DPS - 500 VCC - 45 KA - CLASSE II;SUCESSO
38;Disjuntor DPS 10kA 25A ;9004077;INTERRUPTOR DIFERENCIAL TETRAPOLAR - 100A SENSIBILIDADE 30MA - 380V;SUCESSO
39;Dr 2 P≤los 25A ;;;ERRO_API_500
40;Dr 2 P≤los 40A ;;;ERRO_API_500
41;Dr 2 P≤los 63A ;;;ERRO_API_500
42;Caixa de MediìÍo Tipo H 210x60cm PadrÍo RGE SUL ;36.03.010;Caixa de medição tipo II (300 x 560 x 200) mm, padrão concessionárias;SUCESSO
43;Eletroduto Galvanizado ê Fogo 2" ;9002025;ELETRODUTO DE AÇO GALVANIZADO A FOGO TIPO SEMI-PESADO/ MÉDIO - 2";SUCESSO
44;Curva Galvanizada 2" ;105208;CURVA 90 GRAUS EM FERRO GALVANIZADO CONEXÃO ROSQUEADA DN 65 MM (2 1/2") INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO AF_04/2024;SUCESSO
45;Mureta em alvenaria 2,3mx0,8mx0,45m (hxlxp) ;4001071;ALVENARIA EM BLOCO CERÂMICO COMUM - 19CM;SUCESSO
46;Quadro de DistribuiìÍo Embutir 48 DIN PVC ;9005085;QUADRO DE DISTRIBUIÇÃO EM PVC - PARA ATÉ 48 DISJUNTORES;SUCESSO
47;Haste de Aterramento 5/8" 2,4m ;42.05.200;Haste de aterramento de 5/8" x 2,4 m;SUCESSO
48;Conector Cunha 35mmx5/8" ;101551;CONECTOR CUNHA PARA REDES AÉREAS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE BAIXA TENSÃO - FORNECIMENTO E INSTALAÇÃO AF_07/2020;SUCESSO
49;Cabo de Cobre N£ 35mm2 ;9006094;CABO DE COBRE NÚ PARA ATERRAMENTO - 35.00MM2;SUCESSO
50;Cabo de Cobre FlexÈvel 10mm2 Verde ;;;ERRO_API_500
51;Cabo de Cobre FlexÈvel 16mm2 Verde ;9003107;CABO DE COBRE 16MM2 - ISOLAMENTO PARA 0.6/1KV - CLASSE 5 - FLEXÍVEL - ISOLAÇÃO EM EPR 90 C;SUCESSO
52; Caixa de Passagem comTampa de Ferro 70x46 B125;9005027;CAIXA DE PASSAGEM EM FERRO ESTAMPADO COM FUNDO MÓVEL;SUCESSO
53; Poste Convencional 8/600daN                   ;68.01.800;Poste de concreto circular, 600 kg, H = 11,00 m;SUCESSO
54; Luminßria LED 9W                              ;9082080;LÂMPADA DE LED TUBULAR T8 - 9/10W;SUCESSO
55; Tomada para Ar Condicionado Split 24000 Btu's ;103280;AR CONDICIONADO SPLIT DUTO 24000 BTU/H CICLO QUENTE/FRIO - FORNECIMENTO E INSTALAÇÃO AF_11/2021;SUCESSO
56; Tomada no piso                                ;9082012;TOMADA SIMPLES DE EMBUTIR - PARA PISO;SUCESSO
57; Plafon Embutido 24W - LED                     ;103788;LUMINÁRIA TIPO PLAFON QUADRADA DE EMBUTIR COM LED DE 24 W - FORNECIMENTO E INSTALAÇÃO AF_09/2024;SUCESSO
58; Plafon Embutido 32W - LED                     ;41.11.712;Luminária LED redonda de embutir para parede ou piso, área interna ou externa, bivolt - potência 6 W;SUCESSO
59; Interruptor de uma seτπo                      ;;;ERRO_API_500
60; Interruptor paralelo (Three-Way)              ;91955;INTERRUPTOR PARALELO (1 MÓDULO) 10A/250V INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO AF_03/2023;SUCESSO
61; Interruptor de trΩs seτ⌡es                    ;;;ERRO_API_500
62; Tomada para Ar Condicionado Split  9000 Btu's ;103244;AR CONDICIONADO SPLIT INVERTER HI-WALL (PAREDE) 9000 BTU/H CICLO FRIO - FORNECIMENTO E INSTALAÇÃO AF_11/2021_PE;SUCESSO
63; Tomada para Ar Condicionado Split 12000 Btu's ;17010084;FORNECIMENTO DE AR CONDICIONADO A FRIO TIPO SPLIT PAREDE INVERTER COM CAPACIDADE DE 12000 BTUS/h;SUCESSO
64; Tomada para chuveiro                          ;9082013;TOMADA 3P+T 30A - 440V;SUCESSO
65; Caixa 2x4                                     ;40.07.010;Caixa em PVC de 4´ x 2´;SUCESSO
66; Caixa Sextavada                               ;04.18.120;Remoção de caixa estampada;SUCESSO
67; Eletroduto Flexφvel - Parede - 1" ;;;ERRO_API_500
68; Eletroduto Flexφvel - Teto - 1" ;;;ERRO_API_500
69; Eletroduto Flexφvel - Parede PEAD - 2" ;;;ERRO_API_500
70; Eletroduto Flexφvel - Piso PEAD  - 2" ;;;ERRO_API_500
71; Eletroduto Flexφvel - Teto PEAD  - 2" ;;;ERRO_API_500
72; Eletroduto Flexφvel - Parede - 3/4" ;;;ERRO_API_500
73; Eletroduto Flexφvel - Piso - 3/4" ;;;ERRO_API_500
74; Eletroduto Flexφvel - Teto - 3/4" ;;;ERRO_API_500
75; Tomada baixa 30cm  - 30cm ;91999;TOMADA BAIXA DE EMBUTIR (1 MÓDULO) 2P+T 20 A SEM SUPORTE E SEM PLACA - FORNECIMENTO E INSTALAÇÃO AF_03/2023;SUCESSO
76; Tomada 130cm -  130cm ;9082014;TOMADA 3P+T 32A - 600/690V TIPO INDUSTRIAL;SUCESSO
77; Eletroduto Flexφvel - Parede - 1.1/2" ;;;ERRO_API_500
78; Eletroduto Flexφvel - Teto - 1.1/2" ;;;ERRO_API_500
79; Eletroduto Flexφvel - Parede - 1.1/4" ;;;ERRO_API_500
80; Eletroduto Flexφvel - Teto - 1.1/4" ;;;ERRO_API_500
81; Arandela LED 24 W                             ;41.13.102;Luminária blindada tipo arandela de 45º e 90º, para lâmpada LED;SUCESSO
82; Tomada 3P - Chuveiro                          ;04.11.120;Retirada de torneira ou chuveiro;SUCESSO
83; Caixa 2x4                                     ;40.07.010;Caixa em PVC de 4´ x 2´;SUCESSO
84; Relé Fotoelétrico                             ;101632;RELÉ FOTOELÉTRICO PARA COMANDO DE ILUMINAÇÃO EXTERNA 1000 W - FORNECIMENTO E INSTALAÇÃO AF_02/2025;SUCESSO
